UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,REGION_NATURAL,TIPO_MUNI,CLASIFICACION,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,GPC_MUN
040701,AREQUIPA,ISLAY,MOLLENDO,COSTA,PROVINCIAL,Costa con Población urbana entre 10 mil y 50 mil habitantes,26230.0,26008.0,222.0,0.57,0.8142857142857143
040702,AREQUIPA,ISLAY,COCACHACRA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,8430.0,7541.0,889.0,0.4,0.5714285714285714
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,7055.0,6815.0,240.0,0.47,0.6714285714285714
040704,AREQUIPA,ISLAY,ISLAY,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,5165.0,5165.0,0.0,0.46,0.6571428571428573
040705,AREQUIPA,ISLAY,MEJIA,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,1230.0,867.0,363.0,0.68,0.9714285714285716
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,COSTA,DISTRITAL,Costa con Población urbana de hasta 10 mil habitantes,6470.0,6407.0,63.0,0.52,0.7428571428571429
040801,AREQUIPA,LA UNION,COTAHUASI,SIERRA,PROVINCIAL,Sierra con Población urbana de hasta 10 mil habitantes,2984.0,2170.0,814.0,0.22,0.31428571428571433
040802,AREQUIPA,LA UNION,ALCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1875.0,1752.0,123.0,0.46,0.6571428571428574
040803,AREQUIPA,LA UNION,CHARCANA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,591.0,375.0,216.0,0.437675332039757,0.62525047434251
040804,AREQUIPA,LA UNION,HUAYNACOTAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1907.0,869.0,1038.0,0.437675332039757,0.62525047434251
040805,AREQUIPA,LA UNION,PAMPAMARCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1129.0,412.0,717.0,0.437675332039757,0.62525047434251
040806,AREQUIPA,LA UNION,PUYCA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,2384.0,998.0,1386.0,0.437675332039757,0.6252504743425099
040807,AREQUIPA,LA UNION,QUECHUALLA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,278.0,85.0,193.0,0.437675332039757,0.6252504743425099
040808,AREQUIPA,LA UNION,SAYLA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,313.0,145.0,168.0,0.437675332039757,0.62525047434251
040809,AREQUIPA,LA UNION,TAURIA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,315.0,228.0,87.0,0.437675332039757,0.6252504743425099
040810,AREQUIPA,LA UNION,TOMEPAMPA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,675.0,298.0,377.0,0.437675332039757,0.6252504743425099
040811,AREQUIPA,LA UNION,TORO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,538.0,228.0,310.0,0.437675332039757,0.6252504743425099
050101,AYACUCHO,HUAMANGA,AYACUCHO,SIERRA,PROVINCIAL,Sierra con Población urbana de más de 50 mil habitantes,108794.0,106055.0,2739.0,0.5,0.7142857142857143
050102,AYACUCHO,HUAMANGA,ACOCRO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,8573.0,1472.0,7101.0,0.437675332039757,0.62525047434251
050103,AYACUCHO,HUAMANGA,ACOS VINCHOS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,4844.0,707.0,4137.0,0.4203505822563048,0.6005008317947211
050104,AYACUCHO,HUAMANGA,CARMEN ALTO,SIERRA,DISTRITAL,Sierra con Población urbana entre 10 mil y 50 mil habitantes,30973.0,30227.0,746.0,0.67,0.9571428571428574
050105,AYACUCHO,HUAMANGA,CHIARA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,6512.0,2558.0,3954.0,0.2,0.28571428571428575
050106,AYACUCHO,HUAMANGA,OCROS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,6018.0,1174.0,4844.0,0.437675332039757,0.62525047434251
050107,AYACUCHO,HUAMANGA,PACAYCASA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,3477.0,1633.0,1844.0,0.437675332039757,0.6252504743425101
050108,AYACUCHO,HUAMANGA,QUINUA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,5676.0,2236.0,3440.0,0.437675332039757,0.62525047434251
050109,AYACUCHO,HUAMANGA,SAN JOSE DE TICLLAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1558.0,136.0,1422.0,0.3,0.42857142857142855
050110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,SIERRA,DISTRITAL,Sierra con Población urbana de más de 50 mil habitantes,52764.0,52694.0,70.0,0.65,0.9285714285714286
